F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Class
0.000120472,0.001194683,0.002610232,0.005366035,0.009602642,0.02006365,0.039675528,0.061390651,0.065848125,0.035302385,0.009587583,0.016308931,0.020435106,0.025565216,0.029355072,0.032758413,0.032934102,0.032050639,Non Cancer
0.000418103,0.001672411,0.003537513,0.007427686,0.015349825,0.029616218,0.047943662,0.052626412,0.040377819,0.040824281,0.011761412,0.019450867,0.022544828,0.024435379,0.02537702,0.02570423,0.025064351,0.022599363,Cancer
0.000100452,0.00117194,0.003323288,0.007358112,0.014707852,0.025632011,0.037719739,0.054059936,0.065511468,0.032332161,0.011551984,0.02019923,0.024016407,0.026527708,0.029541269,0.032370668,0.031901892,0.031081534,Cancer
0.000428026,0.00256453,0.007461441,0.016188825,0.03049506,0.045613819,0.049005383,0.037093194,0.026969284,0.027344351,0.016464503,0.02431407,0.025989901,0.025899218,0.025877454,0.024651412,0.023791733,0.023664776,Cancer
0.00062764,0.003315673,0.007864984,0.015323083,0.0257549,0.038913706,0.047748286,0.044748598,0.031572477,0.027304522,0.011929497,0.019067283,0.02246087,0.025231145,0.027512293,0.028953702,0.029490443,0.02686301,Non Cancer
0.001523427,0.003819852,0.006725648,0.01142006,0.01703417,0.025644353,0.039405976,0.052941907,0.053319942,0.030531732,0.00578338,0.010850185,0.014303286,0.019381376,0.025164756,0.03200325,0.038711971,0.040004062,Non Cancer
0.000233758,0.001530735,0.00397765,0.008317247,0.015940761,0.026618206,0.041548531,0.055909543,0.054194064,0.033383604,0.008747059,0.014873771,0.01911157,0.023869669,0.028492037,0.0322397,0.033894854,0.03105583,Non Cancer
0.000240427,0.002662511,0.005859305,0.010040071,0.016304541,0.026055209,0.037889581,0.050271594,0.054634907,0.036833482,0.005587711,0.010765806,0.013909172,0.018610864,0.024496883,0.030552093,0.038312556,0.040004452,Non Cancer
0.004353279,0.013294986,0.01919181,0.025661433,0.033566071,0.036532571,0.036574778,0.032764151,0.026523648,0.017229819,0.013264839,0.022568314,0.025287606,0.028085281,0.029387647,0.029062055,0.027403951,0.025980995,Non Cancer
0.000460989,0.001563676,0.004676275,0.011797637,0.025800646,0.041341516,0.050889525,0.046475092,0.034769653,0.025779994,0.01630058,0.024543067,0.026903332,0.027570845,0.026918084,0.025538804,0.024900795,0.025568308,Non Cancer
0.000111514,0.000726767,0.002726336,0.008171317,0.020807057,0.039529947,0.055422678,0.051688867,0.039299228,0.025213031,0.016681023,0.02586366,0.027501769,0.027751715,0.027313348,0.025717538,0.025590642,0.025206109,Cancer
0.000142625,0.000972777,0.002662337,0.005730607,0.011347845,0.021448633,0.039335294,0.06028291,0.06097775,0.037679379,0.007233657,0.012814324,0.017008967,0.021448633,0.025767616,0.030894808,0.03325361,0.032950074,Cancer
0.006429336,0.017711831,0.022817911,0.029738428,0.035079102,0.035387006,0.032399601,0.028125596,0.024866941,0.013955398,0.020559946,0.029159275,0.029595472,0.02871208,0.027524449,0.025570723,0.025783323,0.025218832,Non Cancer
0.000109022,0.001165168,0.002970837,0.006834287,0.012966748,0.023984737,0.037687381,0.050054511,0.053952031,0.048220223,0.008278823,0.014281821,0.017954484,0.022151812,0.025286182,0.030307986,0.033278823,0.034736986,Non Cancer
9.21E-05,0.000622687,0.001714581,0.004038694,0.008849169,0.017663258,0.035479995,0.054906071,0.064781358,0.049481679,0.00812124,0.01458929,0.01753609,0.022210626,0.026722913,0.030665135,0.033651401,0.033497921,Cancer
0.001516229,0.010406843,0.02635989,0.038649323,0.03969037,0.036302433,0.030331829,0.025355117,0.021949043,0.015551138,0.019903223,0.028906284,0.028692271,0.028394829,0.027212316,0.025725106,0.025862945,0.024727587,Cancer
0.026268096,0.032510075,0.034192989,0.036883401,0.032633901,0.026932256,0.019997974,0.014476439,0.011960511,0.011315487,0.019114303,0.028221177,0.029814035,0.029594525,0.029273702,0.027078596,0.024787806,0.022626472,Cancer
0.001797619,0.003649437,0.004579863,0.006445231,0.01151289,0.021182996,0.035062601,0.050202345,0.054231179,0.049068671,0.009150693,0.014665498,0.017127062,0.020663583,0.023125147,0.026124189,0.028599303,0.028942567,Cancer
0.000956645,0.003432088,0.005794114,0.009517141,0.016844846,0.026677581,0.038255947,0.047743501,0.049602548,0.040940471,0.010355438,0.016588426,0.019902166,0.022786895,0.025331374,0.027895578,0.029552448,0.028886741,Non Cancer
0.000380871,0.003638223,0.011712686,0.022101391,0.030930341,0.035783723,0.039142642,0.041881284,0.035819997,0.022887074,0.015956675,0.023929572,0.025645304,0.026711742,0.027535149,0.027894256,0.028246108,0.027172415,Cancer
0.000453489,0.002988902,0.006196303,0.010817764,0.017294405,0.026347686,0.038315661,0.051681206,0.053470424,0.033947329,0.005219241,0.010257087,0.014482776,0.018840389,0.024121469,0.030041556,0.036996422,0.04136228,Non Cancer
0.000555618,0.001542042,0.003112267,0.006482212,0.011680061,0.020340457,0.032725106,0.043310035,0.05264281,0.062087514,0.00740019,0.013310679,0.016745044,0.01959158,0.022397855,0.025622856,0.027454786,0.029314899,Cancer
0.00185896,0.006989208,0.010236354,0.01555974,0.023279254,0.034137273,0.044307235,0.045556602,0.036943821,0.024905241,0.010471741,0.01803433,0.02246445,0.025898699,0.029441588,0.029954612,0.030322783,0.027914584,Cancer
0.006087184,0.030345922,0.043035738,0.042814832,0.037553999,0.029298665,0.022385129,0.016895209,0.012910721,0.006938081,0.022376947,0.032006807,0.03240771,0.030894096,0.028038683,0.025821443,0.024111467,0.022736942,Cancer
0.000273219,0.002946859,0.007786733,0.014675748,0.023111376,0.034420679,0.047735212,0.052950762,0.040397338,0.02056166,0.010289612,0.01850081,0.022345387,0.026955953,0.030327277,0.033415624,0.033235105,0.030771257,Cancer
0.000857652,0.005908673,0.014112933,0.023404768,0.032426534,0.038079736,0.039079721,0.037459307,0.034393658,0.019421614,0.014204172,0.022693099,0.026306185,0.029006876,0.03045211,0.030171092,0.027963095,0.024579933,Non Cancer
0.000100128,0.000866109,0.003519505,0.009867631,0.020300985,0.035415332,0.050790011,0.052321972,0.04074215,0.028860942,0.010638617,0.018568768,0.021332305,0.025527675,0.028025873,0.029667975,0.030038449,0.029377603,Non Cancer
0.12352808,0.046044686,0.024871679,0.016077899,0.010869565,0.009812802,0.007435085,0.006189614,0.00366093,0.001207729,0.014115338,0.016719505,0.021286232,0.023248792,0.026796498,0.031061292,0.039137983,0.035703502,Non Cancer
1.09E-05,0.000195876,0.000819779,0.002325126,0.005781982,0.014132122,0.033204684,0.065687526,0.075604678,0.041789875,0.009336777,0.016852628,0.019605781,0.02363213,0.02761495,0.030306438,0.030277419,0.028456494,Non Cancer
